accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posConditionCode,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
361725695,361725695,20000.0,20000.0,2016-01-01T14:20:34,110.84,oldnavy.com,US,US,05,online_retail,08/2027,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,0.0,,,,,False,,,False,False
361725695,361725695,20000.0,19889.16,2016-01-02T19:18:03,66.61,Wendys #295621,US,US,09,fastfood,11/2027,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,110.84,,,,08,True,,,False,False
361725695,361725695,20000.0,19822.55,2016-01-03T15:02:05,16.87,Quizno's #819603,US,US,09,fastfood,10/2020,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,177.45,,,,01,True,,,False,False
361725695,361725695,20000.0,19805.68,2016-01-05T01:30:03,61.5,McDonalds #458640,US,US,09,fastfood,08/2028,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,194.32,,,,01,True,,,False,False
361725695,361725695,20000.0,19744.18,2016-01-06T13:31:21,816.63,ebay.com,US,US,05,online_retail,02/2020,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,255.82,,,,08,False,,,False,False
361725695,361725695,20000.0,18927.55,2016-01-08T01:23:48,113.72,target.com,US,US,09,online_retail,04/2030,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,1072.45,,,,01,False,,,False,False
361725695,361725695,20000.0,18813.83,2016-01-11T08:42:01,112.09,ebay.com,US,US,02,online_retail,11/2030,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,1186.17,,,,01,False,,,False,False
361725695,361725695,20000.0,18701.74,2016-01-14T02:50:32,101.04,apple.com,,US,05,online_retail,08/2021,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,1298.26,,,,01,False,,,False,False
361725695,361725695,20000.0,18600.7,2016-01-14T23:02:43,95.86,discount.com,US,US,05,online_retail,12/2021,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,1399.3,,,,01,False,,,False,False
361725695,361725695,20000.0,18504.84,2016-01-19T00:05:42,134.67,amazon.com,US,US,02,online_retail,03/2033,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,1495.16,,,,01,False,,,False,False
361725695,361725695,20000.0,18370.17,2016-01-22T09:33:06,93.5,oldnavy.com,US,US,05,online_retail,05/2021,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,1629.83,,,,01,False,,,False,False
361725695,361725695,20000.0,18276.67,2016-01-23T21:20:54,319.43,Popeyes #196562,US,US,05,fastfood,10/2032,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,1723.33,,,,01,True,,,False,False
361725695,361725695,20000.0,17957.24,2016-01-24T15:30:00,29.77,gap.com,US,US,05,online_retail,05/2024,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,2042.76,,,,01,False,,,False,False
361725695,361725695,20000.0,17927.47,2016-01-24T21:53:55,78.12,sears.com,US,US,09,online_retail,07/2022,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,2072.53,,,,01,False,,,False,False
361725695,361725695,20000.0,17849.35,2016-01-25T07:42:54,117.91,apple.com,US,US,05,online_retail,07/2028,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,2150.65,,,,01,False,,,False,False
361725695,361725695,20000.0,17731.44,2016-01-25T10:49:10,304.08,Domino's Pizza #448521,US,US,09,fastfood,06/2030,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,2268.56,,,,01,True,,,False,False
361725695,361725695,20000.0,17427.36,2016-01-26T13:13:31,564.38,Domino's Pizza #643011,US,US,09,fastfood,06/2033,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,2572.64,,,,01,True,,,False,False
361725695,361725695,20000.0,16862.98,2016-01-27T00:21:34,319.43,Popeyes #196562,US,US,05,fastfood,10/2032,2015-03-15,2015-03-15,409,409,7811,REVERSAL,,3137.02,,,,01,True,,,False,False
361725695,361725695,20000.0,17182.41,2016-01-29T01:16:13,335.12,oldnavy.com,US,US,05,online_retail,04/2027,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,2817.59,,,,08,False,,,False,False
361725695,361725695,20000.0,16847.29,2016-01-29T11:31:05,542.46,cheapfast.com,US,US,02,online_retail,03/2033,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,3152.71,,,,01,False,,,False,False
361725695,361725695,20000.0,16329.83,2016-02-03T10:33:45,364.59,Wendys #764236,US,US,02,fastfood,10/2030,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,3670.17,,,,01,True,,,False,False
361725695,361725695,20000.0,15965.24,2016-02-06T05:16:00,173.74,Lyft,US,US,05,rideshare,04/2029,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,4034.76,,,,01,False,,,False,False
361725695,361725695,20000.0,15791.5,2016-02-11T00:02:07,900.97,sears.com,US,US,05,online_retail,05/2032,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,4208.5,,,,08,False,,,False,False
361725695,361725695,20000.0,14890.53,2016-02-11T13:45:11,13.41,ebay.com,US,US,02,online_retail,10/2024,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,5109.47,,,,01,False,,,False,False
361725695,361725695,20000.0,14877.12,2016-02-13T10:15:32,393.59,target.com,US,US,05,online_retail,06/2033,2015-03-15,2015-03-15,409,409,7811,PURCHASE,,5122.88,,,,01,False,,,False,False
