accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,isFraud,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posEntryMode,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch
192909192,192909192,15000.0,15000.0,2016-01-07T22:48:58,120.39,discount.com,US,US,01,online_retail,01/2020,2015-02-28,2015-02-28,911,911,608,PURCHASE,True,,0.0,,,,,False,,,False
192909192,192909192,15000.0,14879.61,2016-01-15T16:36:00,38.74,Five Guys #582541,US,US,01,fastfood,09/2030,2015-02-28,2015-02-28,911,911,608,PURCHASE,False,,120.39,,,,02,True,,,False
192909192,192909192,15000.0,14840.87,2016-01-18T15:11:50,65.82,Wendys #324387,US,US,01,fastfood,03/2031,2015-02-28,2015-02-28,911,911,608,PURCHASE,False,,159.13,,,,05,True,,,False
192909192,192909192,15000.0,14775.05,2016-01-19T00:41:20,27.88,Arbys #527434,US,US,01,fastfood,11/2020,2015-02-28,2015-02-28,646,646,9367,PURCHASE,False,,224.95,,,,09,True,,,False
192909192,192909192,15000.0,14772.17,2016-02-12T21:46:15,14.87,Popeyes #687333,US,US,08,fastfood,02/2026,2015-02-28,2015-02-28,978,978,3669,PURCHASE,False,,227.83,,,,02,True,,,False
192909192,192909192,15000.0,14757.3,2016-02-29T20:27:22,155.78,Cinnabon #415884,US,US,01,fastfood,07/2021,2015-02-28,2015-02-28,646,646,9367,PURCHASE,False,,242.7,,,,05,True,,,False
192909192,192909192,15000.0,14626.52,2016-03-06T02:20:51,39.33,Subway #674422,US,US,01,fastfood,04/2031,2015-02-28,2015-02-28,978,978,3669,PURCHASE,False,,373.48,,,,02,True,,,False
192909192,192909192,15000.0,14587.19,2016-03-06T11:54:46,428.2,Subway #577012,US,US,08,fastfood,12/2032,2015-02-28,2015-02-28,911,911,608,PURCHASE,False,,412.81,,,,05,True,,,False
192909192,192909192,15000.0,14158.99,2016-03-08T23:20:31,405.8,staples.com,US,US,01,online_retail,12/2023,2015-02-28,2015-02-28,646,646,9367,PURCHASE,False,,841.01,,,,09,False,,,False
192909192,192909192,15000.0,13753.19,2016-03-17T19:40:11,10.04,staples.com,US,US,01,online_retail,08/2025,2015-02-28,2015-02-28,646,646,9367,PURCHASE,False,,1246.81,,,,05,False,,,False
