accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,transactionAmount,merchantCity,merchantState,merchantZip,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
767824109,767824109,7500.0,7500.0,2016-01-25T05:55:46,AMC #552863,US,US,05,01,entertainment,01/2020,2015-10-04,2015-10-04,822,822,5590,ADDRESS_VERIFICATION,,0.0,0.0,,,,False,,,False,False
767824109,767824109,7500.0,7500.0,2016-01-27T23:54:34,AMC #74121,US,US,05,08,entertainment,08/2032,2015-10-04,2015-10-04,378,378,6824,PURCHASE,,0.0,38.83,,,,True,,,False,False
767824109,767824109,7500.0,7500.0,2016-03-06T09:08:34,Play Store,US,US,09,01,mobileapps,01/2022,2015-10-04,2015-10-04,822,822,5590,PURCHASE,,0.0,3.52,,,,False,,,False,False
767824109,767824109,7500.0,7500.0,2016-04-07T07:29:32,Play Store,US,US,09,01,mobileapps,01/2022,2015-10-04,2015-10-04,822,822,5590,PURCHASE,,0.0,3.52,,,,False,,,False,False
767824109,767824109,7500.0,7496.48,2016-04-19T18:07:52,AMC #724446,US,US,05,01,entertainment,08/2027,2015-10-04,2015-10-04,378,378,6824,PURCHASE,,3.52,158.37,,,,True,,,False,False
767824109,767824109,7500.0,7500.0,2016-05-08T00:18:05,Play Store,US,US,09,01,mobileapps,01/2022,2015-10-04,2015-10-04,822,822,5590,PURCHASE,,0.0,3.52,,,,False,,,False,False
767824109,767824109,7500.0,7500.0,2016-06-08T17:45:44,Play Store,US,US,09,01,mobileapps,01/2022,2015-10-04,2015-10-04,822,822,5590,PURCHASE,,0.0,3.52,,,,False,,,False,False
767824109,767824109,7500.0,7496.48,2016-06-13T23:00:48,netflix.com,US,US,02,01,online_subscriptions,08/2026,2015-10-04,2015-10-04,822,822,5590,PURCHASE,,3.52,7.91,,,,False,,,False,False
767824109,767824109,7500.0,7488.57,2016-06-27T19:29:04,EZ Putt Putt #40513,US,US,09,01,entertainment,05/2033,2015-10-04,2015-10-04,822,822,5590,PURCHASE,,11.43,13.3,,,,True,,,False,False
767824109,767824109,7500.0,7500.0,2016-07-05T01:59:10,AMC #552863,US,US,02,08,entertainment,03/2026,2015-10-04,2015-10-04,822,822,5590,PURCHASE,,0.0,282.68,,,,True,,,False,False
767824109,767824109,7500.0,7217.32,2016-07-09T03:11:16,Play Store,US,US,09,01,mobileapps,01/2022,2015-10-04,2015-10-04,822,822,5590,PURCHASE,,282.68,3.52,,,,False,,,False,False
767824109,767824109,7500.0,7213.8,2016-07-14T17:32:09,netflix.com,US,US,02,01,online_subscriptions,08/2026,2015-10-04,2015-10-04,822,822,5590,PURCHASE,,286.2,7.91,,,,False,,,False,False
