accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,isFraud,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posOnPremises,recurringAuthInd,expirationDateKeyInMatch
893889934,893889934,7500.0,7500.0,2016-01-22T05:54:52,276.36,Convenient Tire,US,US,09,01,auto,True,08/2032,2014-08-07,2014-08-07,617,617,868,PURCHASE,True,,0.0,,,,,,False
893889934,893889934,7500.0,7223.64,2016-01-24T08:40:03,47.85,oldnavy.com,US,US,09,01,online_retail,False,06/2020,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,276.36,,,,,,False
893889934,893889934,7500.0,7175.79,2016-01-24T21:07:59,118.7,Eazy Auto Body,US,US,09,01,auto,True,07/2021,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,324.21,,,,,,False
893889934,893889934,7500.0,7082.09,2016-02-11T02:21:18,42.5,Hilton Hotels #195960,US,US,05,01,hotels,False,09/2023,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,417.91,,,,,,False
893889934,893889934,7500.0,7039.59,2016-02-24T00:41:06,379.07,cheapfast.com,US,US,09,01,online_retail,False,04/2025,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,460.41,,,,,,False
893889934,893889934,7500.0,6660.52,2016-02-26T11:17:37,264.54,Shell Repair,US,US,02,01,auto,True,07/2022,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,839.48,,,,,,False
893889934,893889934,7500.0,6420.98,2016-03-14T15:47:37,12.71,Washington Post,US,US,02,01,subscriptions,False,07/2029,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,1079.02,,,,,,False
893889934,893889934,7500.0,6433.27,2016-04-04T03:09:16,348.51,Shell Auto Body,US,US,05,01,auto,False,11/2025,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,1066.73,,,,,,False
893889934,893889934,7500.0,6084.76,2016-04-27T04:57:51,25.11,Chicago News,US,US,09,01,subscriptions,False,10/2020,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,1415.24,,,,,,False
893889934,893889934,7500.0,6084.65,2016-05-26T08:31:05,141.05,Fast Tire,US,US,05,01,auto,True,05/2022,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,1415.35,,,,,,False
893889934,893889934,7500.0,5968.6,2016-06-22T10:09:22,36.79,Shell Repair,US,US,05,01,auto,True,02/2025,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,1531.4,,,,,,False
893889934,893889934,7500.0,5931.81,2016-06-27T21:38:24,60.92,amazon.com,US,US,05,01,online_retail,False,07/2027,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,1568.19,,,,,,False
893889934,893889934,7500.0,5895.89,2016-07-04T00:07:28,40.11,Eazy Repair,US,US,05,01,auto,True,10/2022,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,1604.11,,,,,,False
893889934,893889934,7500.0,5855.78,2016-07-06T03:51:35,38.38,Shell Tire,US,US,09,08,auto,True,04/2032,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,1644.22,,,,,,False
893889934,893889934,7500.0,5817.4,2016-07-12T00:42:48,285.21,Ricks Auto Body,US,US,02,01,auto,True,03/2020,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,1682.6,,,,,,False
893889934,893889934,7500.0,5532.19,2016-07-22T15:15:14,8.57,abc.com,US,US,02,01,online_subscriptions,False,05/2020,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,1967.81,,,,,,False
893889934,893889934,7500.0,5548.62,2016-08-01T17:34:19,490.38,Fast Auto Services,US,US,09,08,auto,True,11/2023,2014-08-07,2014-08-07,617,617,868,PURCHASE,False,,1951.38,,,,,,False
