accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,acqCountry,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
824071667,824071667,10000.0,10000.0,2016-04-14T01:19:34,104.54,34th BBQ #192302,US,05,01,food,True,10/2027,2015-09-09,2015-09-09,394,394,9737,PURCHASE,,0.0,,,,,,,False,False
824071667,824071667,10000.0,9895.46,2016-04-30T00:24:09,35.79,Hardee's #245522,US,05,08,fastfood,True,10/2024,2015-09-09,2015-09-09,394,394,9737,PURCHASE,,104.54,,,,US,,,False,False
824071667,824071667,10000.0,9884.67,2016-06-03T09:25:16,5.95,Play Store,US,05,01,mobileapps,False,05/2028,2015-09-09,2015-09-09,229,229,6974,PURCHASE,,115.33,,,,US,,,False,False
824071667,824071667,10000.0,9878.72,2016-06-08T08:13:57,4.6,Franks Deli,US,09,01,food,True,07/2024,2015-09-09,2015-09-09,229,229,6974,PURCHASE,,121.28,,,,US,,,False,False
824071667,824071667,10000.0,9874.12,2016-06-24T10:18:22,220.24,Wendys #14150,US,09,01,fastfood,True,01/2023,2015-09-09,2015-09-09,394,394,9737,PURCHASE,,125.88,,,,US,,,False,False
824071667,824071667,10000.0,9678.88,2016-07-04T10:24:20,5.95,Play Store,US,05,01,mobileapps,False,05/2028,2015-09-09,2015-09-09,229,229,6974,PURCHASE,,321.12,,,,US,,,False,False
824071667,824071667,10000.0,9697.93,2016-08-05T01:14:04,5.95,Play Store,US,05,01,mobileapps,False,05/2028,2015-09-09,2015-09-09,229,229,6974,PURCHASE,,302.07,,,,US,,,False,False
824071667,824071667,10000.0,9691.98,2016-08-08T03:39:00,372.19,Dunkin' Donuts #719661,US,05,01,fastfood,True,07/2029,2015-09-09,2015-09-09,229,229,6974,PURCHASE,,308.02,,,,US,,,False,False
824071667,824071667,10000.0,9344.79,2016-09-05T23:36:19,5.95,Play Store,US,05,01,mobileapps,False,05/2028,2015-09-09,2015-09-09,229,229,6974,PURCHASE,,655.21,,,,US,,,False,False
824071667,824071667,10000.0,9363.84,2016-10-06T00:44:53,5.95,Play Store,US,05,01,mobileapps,False,05/2028,2015-09-09,2015-09-09,229,229,6974,PURCHASE,,636.16,,,,US,,,False,False
824071667,824071667,10000.0,9382.89,2016-11-06T20:48:08,5.95,Play Store,US,05,01,mobileapps,False,05/2028,2015-09-09,2015-09-09,229,229,6974,PURCHASE,,617.11,,,,US,,,False,False
824071667,824071667,10000.0,9401.94,2016-12-07T06:13:28,5.95,Play Store,US,05,01,mobileapps,False,05/2028,2015-09-09,2015-09-09,229,229,6974,PURCHASE,,598.06,,,,US,,,False,False
824071667,824071667,10000.0,9395.99,2016-12-11T18:05:04,250.75,walmart.com,US,05,01,online_retail,False,01/2022,2015-09-09,2015-09-09,229,229,6974,PURCHASE,,604.01,,,,US,,,False,False
