accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,transactionAmount,merchantCity,merchantState,merchantZip,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
972890461,972890461,250.0,250.0,2016-01-24T13:30:22,Best Bistro #262998,US,US,05,01,food,08/2027,2012-07-23,2012-07-23,748,748,8901,ADDRESS_VERIFICATION,,0.0,0.0,,,,False,,,False,False
972890461,972890461,250.0,250.0,2016-03-07T06:40:26,CVS #207735,US,US,09,01,health,09/2028,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,0.0,168.23,,,,False,,,False,False
972890461,972890461,250.0,81.77,2016-03-23T22:25:00,Hyatt House #464602,US,US,09,08,hotels,08/2022,2012-07-23,2012-07-23,992,992,8590,PURCHASE,,168.23,210.95,,,,True,,,False,False
972890461,972890461,250.0,133.8,2016-03-24T23:29:29,Dinosaur Sandwitch Bar #303701,US,US,05,01,food,10/2032,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,116.2,325.51,,,,True,,,False,False
972890461,972890461,250.0,213.62,2016-04-13T14:54:31,Rodeway Inn #599249,US,US,02,01,hotels,06/2033,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,36.38,18.03,,,,True,,,False,False
972890461,972890461,250.0,195.59,2016-04-14T17:48:11,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,54.41,49.3,,,,False,,,False,False
972890461,972890461,250.0,146.29,2016-04-21T02:41:14,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,103.71,49.3,,,,False,,,False,False
972890461,972890461,250.0,96.99,2016-04-28T05:06:16,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,153.01,49.3,,,,False,,,False,False
972890461,972890461,250.0,72.69,2016-05-01T17:24:53,Franks Restaurant,US,US,05,01,food,08/2025,2012-07-23,2012-07-23,992,992,8590,PURCHASE,,177.31,36.52,,,,True,,,False,False
972890461,972890461,250.0,36.17,2016-05-03T14:42:18,Planet Fitness #219757,US,US,05,01,health,07/2022,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,213.83,202.37,,,,True,,,False,False
972890461,972890461,250.0,205.35,2016-05-04T09:32:28,Walgreens #558839,US,US,09,08,health,07/2020,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,44.65,59.19,,,,False,,,False,False
972890461,972890461,250.0,146.16,2016-05-04T15:31:57,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,103.84,49.3,,,,False,,,False,False
972890461,972890461,250.0,96.86,2016-05-05T05:12:35,CVS #314207,US,US,09,01,health,03/2029,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,153.14,167.62,,,,False,,,False,False
972890461,972890461,250.0,250.0,2016-05-11T23:47:49,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,0.0,49.3,,,,False,,,False,False
972890461,972890461,250.0,200.7,2016-05-18T16:57:01,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,49.3,49.3,,,,False,,,False,False
972890461,972890461,250.0,151.4,2016-05-25T18:49:22,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,98.6,49.3,,,,False,,,False,False
972890461,972890461,250.0,127.1,2016-06-01T17:07:12,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,122.9,49.3,,,,False,,,False,False
972890461,972890461,250.0,77.8,2016-06-04T18:16:41,Planet Fitness #234978,US,US,05,01,health,08/2022,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,172.2,249.26,,,,False,,,False,False
972890461,972890461,250.0,229.37,2016-06-09T13:03:31,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,20.63,49.3,,,,False,,,False,False
972890461,972890461,250.0,180.07,2016-06-15T22:40:50,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,69.93,49.3,,,,False,,,False,False
972890461,972890461,250.0,130.77,2016-06-22T19:45:25,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,119.23,49.3,,,,False,,,False,False
972890461,972890461,250.0,81.47,2016-06-30T06:40:08,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,168.53,49.3,,,,False,,,False,False
972890461,972890461,250.0,57.17,2016-07-07T09:58:27,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,192.83,49.3,,,,False,,,False,False
972890461,972890461,250.0,194.65,2016-07-14T00:34:07,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,55.35,49.3,,,,False,,,False,False
972890461,972890461,250.0,145.35,2016-07-21T04:37:21,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,104.65,49.3,,,,False,,,False,False
972890461,972890461,250.0,96.05,2016-07-25T07:48:40,Planet Fitness #234978,US,US,09,08,health,10/2026,2012-07-23,2012-07-23,992,992,8590,PURCHASE,,153.95,119.58,,,,False,,,False,False
972890461,972890461,250.0,169.97,2016-07-28T01:02:47,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,80.03,49.3,,,,False,,,False,False
972890461,972890461,250.0,145.67000000000002,2016-08-04T03:37:08,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2012-07-23,748,748,8901,PURCHASE,,104.33,49.3,,,,False,,,False,False
972890461,972890461,250.0,96.37,2016-08-11T03:10:02,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2016-08-05,748,748,8901,PURCHASE,,153.63,49.3,,,,False,,,False,False
972890461,972890461,250.0,47.07,2016-08-18T03:05:53,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2016-08-05,748,748,8901,PURCHASE,,202.93,49.3,,,,False,,,False,False
972890461,972890461,250.0,250.0,2016-08-25T09:13:14,MyApron,US,US,05,01,food_delivery,02/2027,2012-07-23,2016-08-05,748,748,8901,PURCHASE,,0.0,49.3,,,,False,,,False,False
