accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posConditionCode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posEntryMode,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
946441385,946441385,20000.0,20000.0,2016-01-02T05:13:32,33.28,Rodeway Inn #614326,US,US,01,hotels,True,07/2026,2011-10-15,2011-10-15,357,357,3076,PURCHASE,,0.0,,,,,,,False,False
946441385,946441385,20000.0,20000.0,2016-02-19T01:42:17,155.13,Arbys #46046,US,US,08,fastfood,True,10/2022,2011-10-15,2011-10-15,863,863,2995,PURCHASE,,0.0,,,,02,,,False,False
946441385,946441385,20000.0,20000.0,2016-03-15T01:53:21,48.8,EZ Putt Putt #40513,US,US,01,entertainment,True,05/2022,2011-10-15,2011-10-15,507,507,7598,PURCHASE,,0.0,,,,02,,,False,False
946441385,946441385,20000.0,19951.2,2016-03-23T15:06:35,67.09,In-N-Out #113467,US,US,01,fastfood,True,08/2021,2011-10-15,2011-10-15,357,357,3076,PURCHASE,,48.8,,,,05,,,False,False
946441385,946441385,20000.0,19884.11,2016-03-31T11:22:42,143.03,Tim Hortons #989270,US,US,01,fastfood,True,07/2032,2011-10-15,2011-10-15,507,507,7598,PURCHASE,,115.89,,,,05,,,False,False
946441385,946441385,20000.0,20000.0,2016-04-11T10:15:24,66.44,Hyatt House #336640,US,US,01,hotels,True,08/2026,2011-10-15,2011-10-15,863,863,2995,PURCHASE,,0.0,,,,09,,,False,False
946441385,946441385,20000.0,19933.56,2016-04-14T10:46:55,90.63,Hilton Hotels #85135,US,US,01,hotels,True,08/2032,2011-10-15,2011-10-15,863,863,2995,PURCHASE,,66.44,,,,02,,,False,False
946441385,946441385,20000.0,19842.93,2016-04-24T14:18:23,65.93,Hyatt House #862691,US,US,01,hotels,True,04/2029,2011-10-15,2011-10-15,863,863,2995,PURCHASE,,157.07,,,,02,,,False,False
946441385,946441385,20000.0,20000.0,2016-05-17T10:44:00,290.53,Pizza Hut #829289,US,US,01,fastfood,True,09/2027,2011-10-15,2011-10-15,507,507,7598,PURCHASE,,0.0,,,,90,,,False,False
946441385,946441385,20000.0,20000.0,2016-06-13T16:33:39,142.07,Renaissance Hotel #615444,US,US,01,hotels,False,06/2029,2011-10-15,2011-10-15,863,863,2995,PURCHASE,,0.0,,,,09,,,False,True
946441385,946441385,20000.0,19857.93,2016-06-25T15:30:34,157.24,Hilton Hotels #186828,US,US,01,hotels,True,05/2028,2011-10-15,2011-10-15,507,507,7598,PURCHASE,,142.07,,,,05,,,False,False
946441385,946441385,20000.0,19700.69,2016-06-29T19:27:55,61.26,Renaissance Hotel #948771,US,US,01,hotels,True,04/2030,2011-10-15,2011-10-15,507,507,7598,PURCHASE,,299.31,,,,05,,,False,True
946441385,946441385,20000.0,20000.0,2016-07-24T15:07:12,157.24,Hilton Hotels #186828,US,US,01,hotels,True,05/2028,2011-10-15,2011-10-15,507,507,7598,REVERSAL,,0.0,,,,05,,,False,False
946441385,946441385,20000.0,20000.0,2016-07-29T20:13:06,465.55,Rodeway Inn #982555,US,US,08,hotels,True,11/2032,2011-10-15,2011-10-15,863,863,2995,PURCHASE,,0.0,,,,05,,,False,False
946441385,946441385,20000.0,20000.0,2016-08-23T05:57:41,0.0,Rodeway Inn #477327,US,US,01,hotels,False,02/2020,2011-10-15,2011-10-15,863,863,2995,ADDRESS_VERIFICATION,,0.0,,,,05,,,False,False
946441385,946441385,20000.0,20000.0,2016-10-05T10:15:36,168.96,McDonalds #682628,US,US,01,fastfood,True,12/2032,2011-10-15,2011-10-15,507,507,7598,PURCHASE,,0.0,,,,05,,,False,False
946441385,946441385,20000.0,19831.04,2016-10-14T01:06:06,50.89,Renaissance Hotel #831453,US,US,01,hotels,True,05/2032,2011-10-15,2011-10-15,357,357,3076,PURCHASE,,168.96,,,,05,,,False,True
946441385,946441385,20000.0,19780.15,2016-10-19T09:12:32,182.6,Rodeway Inn #171899,US,US,01,hotels,False,11/2026,2011-10-15,2011-10-15,357,357,3076,PURCHASE,,219.85,,,,05,,,False,False
946441385,946441385,20000.0,20000.0,2016-11-06T13:14:07,14.37,hulu.com,US,US,01,online_subscriptions,False,08/2021,2011-10-15,2011-10-15,863,863,2995,PURCHASE,,0.0,,,,09,,,False,False
946441385,946441385,20000.0,19985.63,2016-11-14T01:27:57,63.11,Renaissance Hotel #219166,US,US,01,hotels,True,03/2020,2011-10-15,2011-10-15,507,507,7598,PURCHASE,,14.37,,,,05,,,False,True
946441385,946441385,20000.0,20000.0,2016-12-07T13:47:35,14.37,hulu.com,US,US,01,online_subscriptions,False,08/2021,2011-10-15,2011-10-15,863,863,2995,PURCHASE,,0.0,,,,09,,,False,False
