accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,isFraud,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch
950142342,950142342,20000.0,20000.0,2016-01-04T04:26:24,276.86,Icelandic Airlines,US,US,02,01,airline,02/2020,2008-02-29,2008-02-29,207,207,8494,PURCHASE,True,,0.0,,,,False,,,False
950142342,950142342,20000.0,19723.14,2016-01-09T10:53:49,80.26,United Airlines,US,US,05,01,airline,10/2031,2008-02-29,2008-02-29,207,207,8494,PURCHASE,False,,276.86,,,,False,,,False
950142342,950142342,20000.0,19642.88,2016-01-10T23:59:33,64.25,Icelandic Airlines,US,US,05,08,airline,07/2026,2008-02-29,2008-02-29,207,207,8494,PURCHASE,False,,357.12,,,,False,,,False
950142342,950142342,20000.0,19578.63,2016-01-15T12:02:57,17.76,Delta Airlines,US,US,05,08,airline,12/2032,2008-02-29,2008-02-29,207,207,8494,PURCHASE,False,,421.37,,,,False,,,False
950142342,950142342,20000.0,19560.87,2016-01-18T16:24:22,240.06,Icelandic Airlines,US,US,05,01,airline,08/2029,2008-02-29,2008-02-29,207,207,8494,PURCHASE,False,,439.13,,,,False,,,False
950142342,950142342,20000.0,19320.81,2016-01-20T22:55:11,119.99,American Airlines,US,US,02,01,airline,05/2023,2008-02-29,2008-02-29,540,540,5919,PURCHASE,False,,679.19,,,,False,,,False
950142342,950142342,20000.0,19200.82,2016-01-25T18:00:16,91.69,Delta Airlines,US,US,80,99,airline,02/2033,2008-02-29,2008-02-29,540,540,5919,PURCHASE,False,,799.18,,,,False,,,False
950142342,950142342,20000.0,19109.13,2016-01-26T07:58:24,133.99,Annies Fries,US,US,02,01,food,10/2025,2008-02-29,2008-02-29,207,207,8494,PURCHASE,False,,890.87,,,,True,,,False
950142342,950142342,20000.0,18975.14,2016-01-27T11:30:21,111.6,Delta Airlines,US,US,05,01,airline,08/2028,2008-02-29,2008-02-29,540,540,5919,PURCHASE,False,,1024.86,,,,False,,,False
950142342,950142342,20000.0,18863.54,2016-01-29T07:38:59,299.3,United Airlines,US,US,02,01,airline,02/2033,2008-02-29,2008-02-29,207,207,8494,PURCHASE,False,,1136.46,,,,False,,,False
950142342,950142342,20000.0,18564.24,2016-01-30T14:20:36,174.23,Icelandic Airlines,US,US,09,01,airline,10/2027,2008-02-29,2008-02-29,540,540,5919,PURCHASE,False,,1435.76,,,,False,,,False
950142342,950142342,20000.0,18415.01,2016-02-04T15:48:30,29.98,Icelandic Airlines,US,US,05,01,airline,09/2031,2008-02-29,2008-02-29,207,207,8494,PURCHASE,False,,1584.99,,,,False,,,False
950142342,950142342,20000.0,18385.03,2016-02-05T21:57:24,56.28,Virgin Airlines,US,US,09,01,airline,07/2032,2008-02-29,2008-02-29,540,540,5919,PURCHASE,False,,1614.97,,,,True,,,False
950142342,950142342,20000.0,18328.75,2016-02-06T17:22:19,32.53,American Airlines,US,US,05,01,airline,04/2029,2008-02-29,2008-02-29,540,540,5919,PURCHASE,False,,1671.25,,,,False,,,False
950142342,950142342,20000.0,18296.22,2016-02-06T23:47:49,296.19,Icelandic Airlines,US,US,05,01,airline,12/2025,2008-02-29,2008-02-29,207,207,8494,PURCHASE,False,,1703.78,,,,False,,,False
950142342,950142342,20000.0,18000.03,2016-02-07T20:21:39,33.15,United Airlines,US,US,09,01,airline,06/2033,2008-02-29,2008-02-29,540,540,5919,PURCHASE,False,,1999.97,,,,False,,,False
950142342,950142342,20000.0,17966.88,2016-02-08T07:19:59,157.27,United Airlines,US,US,05,08,airline,04/2030,2008-02-29,2008-02-29,540,540,5919,PURCHASE,False,,2033.12,,,,False,,,False
950142342,950142342,20000.0,17809.61,2016-02-10T09:10:40,299.3,United Airlines,US,US,02,01,airline,02/2033,2008-02-29,2008-02-29,207,207,8494,REVERSAL,False,,2190.39,,,,False,,,False
950142342,950142342,20000.0,18108.91,2016-02-11T01:30:28,43.75,Virgin Airlines,US,US,02,01,airline,10/2029,2008-02-29,2008-02-29,207,207,8494,PURCHASE,False,,1891.09,,,,False,,,False
950142342,950142342,20000.0,18065.16,2016-02-11T17:46:46,72.7,Icelandic Airlines,US,US,05,08,airline,01/2022,2008-02-29,2008-02-29,207,207,8494,PURCHASE,False,,1934.84,,,,False,,,False
