accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,isFraud,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posEntryMode,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch
250414479,250414479,15000.0,15000.0,2016-01-01T07:59:25,129.84,target.com,US,US,01,online_retail,11/2028,2014-01-14,2014-01-14,957,957,3674,PURCHASE,True,,0.0,,,,,False,,,False
250414479,250414479,15000.0,14870.16,2016-01-02T08:18:04,381.4,gap.com,US,US,08,online_retail,05/2027,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,129.84,,,,09,False,,,False
250414479,250414479,15000.0,14488.76,2016-01-02T09:08:42,50.87,sears.com,US,US,01,online_retail,04/2022,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,511.24,,,,02,False,,,False
250414479,250414479,15000.0,14437.89,2016-01-05T19:23:07,156.57,gap.com,US,US,01,online_retail,03/2023,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,562.11,,,,02,False,,,False
250414479,250414479,15000.0,14281.32,2016-01-06T00:43:13,175.87,sears.com,US,US,01,online_retail,01/2029,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,718.68,,,,05,False,,,False
250414479,250414479,15000.0,14105.45,2016-01-07T14:44:22,17.36,apple.com,US,US,08,online_retail,06/2021,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,894.55,,,,02,False,,,False
250414479,250414479,15000.0,14088.09,2016-01-08T02:00:36,154.67,target.com,US,US,01,online_retail,10/2030,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,911.91,,,,05,False,,,False
250414479,250414479,15000.0,13933.42,2016-01-10T12:27:17,37.68,oldnavy.com,US,US,01,online_retail,04/2027,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,1066.58,,,,05,False,,,False
250414479,250414479,15000.0,13895.74,2016-01-11T08:03:37,1081.01,oldnavy.com,US,US,01,online_retail,09/2026,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,1104.26,,,,02,False,,,False
250414479,250414479,15000.0,12814.73,2016-01-15T08:24:53,35.47,cheapfast.com,US,US,01,online_retail,10/2026,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,2185.27,,,,09,False,,,False
250414479,250414479,15000.0,12779.26,2016-01-15T16:17:04,29.36,amazon.com,US,US,01,online_retail,09/2021,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,2220.74,,,,05,False,,,False
250414479,250414479,15000.0,12749.9,2016-01-15T17:07:23,0.46,apple.com,US,US,01,online_retail,01/2027,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,2250.1,,,,02,False,,,False
250414479,250414479,15000.0,12749.44,2016-01-16T06:07:06,213.53,apple.com,US,US,01,online_retail,01/2027,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,2250.56,,,,09,False,,,False
250414479,250414479,15000.0,12535.91,2016-01-16T17:25:40,110.27,alibaba.com,US,US,01,online_retail,07/2021,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,2464.09,,,,09,False,,,False
250414479,250414479,15000.0,12425.64,2016-01-16T19:28:26,195.52,apple.com,US,US,01,online_retail,06/2033,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,2574.36,,,,05,False,,,False
250414479,250414479,15000.0,12230.12,2016-01-17T06:55:43,979.62,amazon.com,US,US,08,online_retail,10/2028,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,2769.88,,,,05,False,,,False
250414479,250414479,15000.0,11250.5,2016-01-18T08:38:16,17.31,alibaba.com,US,US,01,online_retail,11/2029,2014-01-14,2014-01-14,957,957,3674,PURCHASE,False,,3749.5,,,,05,False,,,False
