accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
741135165,741135165,15000.0,15000.0,2016-02-02T00:21:06,79.1,alibaba.com,US,US,05,01,online_retail,10/2032,2015-11-02,2015-11-02,284,284,6399,PURCHASE,,0.0,,,,False,,,False,False
741135165,741135165,15000.0,14920.9,2016-02-13T07:49:34,19.24,staples.com,US,US,09,01,online_retail,09/2022,2015-11-02,2015-11-02,923,923,6743,PURCHASE,,79.1,,,,False,,,False,False
741135165,741135165,15000.0,14926.66,2016-03-10T20:15:51,228.28,cheapfast.com,US,US,09,08,online_retail,11/2030,2015-11-02,2015-11-02,284,284,6399,PURCHASE,,73.34,,,,False,,,False,False
741135165,741135165,15000.0,14723.38,2016-04-21T11:06:41,311.71,amazon.com,US,US,05,01,online_retail,03/2033,2015-11-02,2015-11-02,923,923,6743,PURCHASE,,276.62,,,,False,,,False,False
741135165,741135165,15000.0,14436.67,2016-08-11T10:10:24,185.42,target.com,US,US,05,08,online_retail,06/2029,2015-11-02,2015-11-02,923,923,6743,PURCHASE,,563.33,,,,False,,,False,False
741135165,741135165,15000.0,14276.25,2016-09-13T22:02:10,70.83,walmart.com,US,US,09,01,online_retail,01/2025,2015-11-02,2015-11-02,284,284,6399,PURCHASE,,723.75,,,,False,,,False,False
741135165,741135165,15000.0,14205.42,2016-09-17T05:25:22,165.97,1st Sandwitch Bar #941288,US,US,09,01,food,08/2021,2015-11-02,2015-11-02,284,284,6399,PURCHASE,,794.58,,,,True,,,False,False
741135165,741135165,15000.0,14064.45,2016-10-14T21:57:13,33.99,walmart.com,US,US,05,01,online_retail,06/2023,2015-11-02,2015-11-02,923,923,6743,PURCHASE,,935.55,,,,False,,,False,False
741135165,741135165,15000.0,14055.46,2016-11-05T23:17:09,69.54,Franks Pub #755509,US,US,05,01,food,05/2029,2015-11-02,2015-11-02,923,923,6743,PURCHASE,,944.54,,,,True,,,False,False
741135165,741135165,15000.0,13985.92,2016-11-22T03:10:56,156.46,cheapfast.com,US,US,09,08,online_retail,07/2033,2015-11-02,2015-11-02,284,284,6399,PURCHASE,,1014.08,,,,False,,,False,False
741135165,741135165,15000.0,13854.46,2016-12-28T19:30:22,236.98,South Steakhouse #157238,US,US,02,01,food,01/2027,2015-11-02,2015-11-02,284,284,6399,PURCHASE,,1145.54,,,,True,,,False,False
741135165,741135165,15000.0,13617.48,2016-12-29T21:40:49,0.3,Franks Pub #632075,US,US,05,01,food,04/2026,2015-11-02,2015-11-02,284,284,6399,PURCHASE,,1382.52,,,,True,,,False,False
