accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posEntryMode,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
909656523,909656523,2500.0,2500.0,2016-01-01T00:42:01,156.4,gap.com,US,US,01,online_retail,08/2031,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,0.0,,,,,False,,,False,False
909656523,909656523,2500.0,2343.6,2016-01-01T18:55:38,56.48,cheapfast.com,US,US,01,online_retail,10/2020,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,156.4,,,,05,False,,,False,False
909656523,909656523,2500.0,2287.12,2016-01-02T11:56:53,16.63,walmart.com,US,US,01,online_retail,07/2023,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,212.88,,,,09,False,,,False,False
909656523,909656523,2500.0,2270.49,2016-01-02T15:51:21,139.22,amazon.com,US,US,01,online_retail,04/2023,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,229.51,,,,09,False,,,False,False
909656523,909656523,2500.0,2131.27,2016-01-03T21:48:48,36.02,cheapfast.com,US,US,01,online_retail,09/2029,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,368.73,,,,90,False,,,False,False
909656523,909656523,2500.0,2095.25,2016-01-05T07:36:25,74.22,amazon.com,US,US,01,online_retail,01/2029,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,404.75,,,,09,False,,,False,False
909656523,909656523,2500.0,2021.03,2016-01-05T07:36:42,74.22,amazon.com,US,US,01,online_retail,01/2029,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,478.97,,,,09,False,,,False,False
909656523,909656523,2500.0,1946.81,2016-01-05T08:54:45,236.58,discount.com,US,US,01,online_retail,05/2033,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,553.19,,,,02,False,,,False,False
909656523,909656523,2500.0,1710.23,2016-01-05T18:14:34,93.4,amazon.com,US,US,01,online_retail,12/2023,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,789.77,,,,90,False,,,False,False
909656523,909656523,2500.0,1616.83,2016-01-05T20:53:13,73.68,staples.com,US,US,01,online_retail,08/2027,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,883.17,,,,05,False,,,False,False
909656523,909656523,2500.0,1543.15,2016-01-07T06:42:29,66.18,oldnavy.com,US,US,08,online_retail,02/2027,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,956.85,,,,05,False,,,False,False
909656523,909656523,2500.0,1476.97,2016-01-08T15:56:00,46.49,cheapfast.com,US,US,01,online_retail,02/2028,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1023.03,,,,09,False,,,False,False
909656523,909656523,2500.0,1430.48,2016-01-08T20:01:35,191.9,target.com,US,US,01,online_retail,02/2021,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1069.52,,,,09,False,,,False,False
909656523,909656523,2500.0,1238.58,2016-01-09T15:02:05,50.01,staples.com,US,US,01,online_retail,07/2028,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1261.42,,,,05,False,,,False,False
909656523,909656523,2500.0,1188.57,2016-01-10T08:34:23,264.11,ebay.com,US,US,01,online_retail,11/2031,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1311.43,,,,02,False,,,False,False
909656523,909656523,2500.0,924.46,2016-01-11T09:05:51,1.97,discount.com,US,US,01,online_retail,07/2022,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1575.54,,,,05,False,,,False,False
909656523,909656523,2500.0,922.49,2016-01-12T07:33:45,200.76,ebay.com,US,US,01,online_retail,01/2025,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1577.51,,,,09,False,,,False,False
909656523,909656523,2500.0,721.73,2016-01-12T10:01:01,87.86,sears.com,US,US,01,online_retail,07/2032,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1778.27,,,,90,False,,,False,False
909656523,909656523,2500.0,633.87,2016-01-12T12:23:56,102.62,apple.com,US,US,01,online_retail,10/2031,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1866.13,,,,09,False,,,False,False
909656523,909656523,2500.0,531.25,2016-01-13T11:16:22,142.33,staples.com,US,US,01,online_retail,08/2028,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1968.75,,,,09,False,,,False,False
909656523,909656523,2500.0,388.92,2016-01-14T05:00:59,79.6,amazon.com,US,US,01,online_retail,08/2024,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,2111.08,,,,09,False,,,False,False
909656523,909656523,2500.0,309.32,2016-01-14T07:50:13,116.32,staples.com,US,US,01,online_retail,05/2028,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,2190.68,,,,02,False,,,False,False
909656523,909656523,2500.0,193.0,2016-01-15T16:47:12,279.59,alibaba.com,US,US,01,online_retail,05/2030,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,2307.0,,,,09,False,,,False,False
909656523,909656523,2500.0,2316.85,2016-01-15T23:59:11,281.65,cheapfast.com,US,US,08,online_retail,05/2027,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,183.15,,,,09,False,,,False,False
909656523,909656523,2500.0,2035.2,2016-01-16T00:32:01,35.37,amazon.com,US,US,08,online_retail,06/2020,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,464.8,,,,02,False,,,False,False
909656523,909656523,2500.0,1999.83,2016-01-16T19:48:25,60.0,target.com,US,US,01,online_retail,04/2029,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,500.17,,,,09,False,,,False,False
909656523,909656523,2500.0,1939.83,2016-01-17T07:46:43,69.93,amazon.com,US,US,01,online_retail,05/2031,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,560.17,,,,05,False,,,False,False
909656523,909656523,2500.0,1869.9,2016-01-18T03:23:21,205.28,amazon.com,US,US,01,online_retail,01/2022,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,630.1,,,,05,False,,,False,False
909656523,909656523,2500.0,1664.62,2016-01-18T19:55:59,8.85,staples.com,US,US,08,online_retail,07/2021,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,835.38,,,,05,False,,,False,False
909656523,909656523,2500.0,1655.77,2016-01-20T01:32:30,215.07,alibaba.com,US,US,01,online_retail,12/2032,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,844.23,,,,05,False,,,False,False
909656523,909656523,2500.0,1440.7,2016-01-20T01:56:37,79.01,gap.com,US,US,01,online_retail,03/2025,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1059.3,,,,05,False,,,False,False
909656523,909656523,2500.0,1361.69,2016-01-20T13:27:04,25.92,sears.com,US,US,08,online_retail,03/2030,2015-08-08,2015-08-08,404,484,8470,PURCHASE,,1138.31,,,,09,False,,,False,False
909656523,909656523,2500.0,1335.77,2016-01-20T19:01:48,72.55,apple.com,US,US,01,online_retail,10/2031,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1164.23,,,,05,False,,,False,False
909656523,909656523,2500.0,1263.22,2016-01-22T06:11:33,133.65,oldnavy.com,US,US,01,online_retail,09/2028,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1236.78,,,,05,False,,,False,False
909656523,909656523,2500.0,1129.57,2016-01-22T09:48:13,66.85,target.com,US,US,08,online_retail,09/2025,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1370.43,,,,09,False,,,False,False
909656523,909656523,2500.0,1062.72,2016-01-22T18:39:19,28.12,amazon.com,US,US,01,online_retail,10/2032,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1437.28,,,,05,False,,,False,False
909656523,909656523,2500.0,1034.6,2016-01-23T02:38:38,56.38,sears.com,US,US,01,online_retail,07/2028,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1465.4,,,,05,False,,,False,False
909656523,909656523,2500.0,978.22,2016-01-24T07:40:01,110.06,target.com,US,US,01,online_retail,06/2023,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1521.78,,,,05,False,,,False,False
909656523,909656523,2500.0,868.16,2016-01-25T06:10:25,64.41,staples.com,US,US,01,online_retail,08/2022,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1631.84,,,,09,False,,,False,False
909656523,909656523,2500.0,803.75,2016-01-26T02:13:30,60.17,apple.com,US,US,99,online_retail,01/2022,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1696.25,,,,02,False,,,False,False
909656523,909656523,2500.0,743.58,2016-01-29T06:44:06,29.93,target.com,US,US,01,online_retail,02/2030,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1756.42,,,,05,False,,,False,False
909656523,909656523,2500.0,713.65,2016-01-29T13:45:24,109.57,staples.com,US,US,01,online_retail,04/2028,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1786.35,,,,05,False,,,False,False
909656523,909656523,2500.0,604.08,2016-01-29T19:08:42,57.13,cheapfast.com,US,US,01,online_retail,10/2027,2015-08-08,2015-08-08,404,404,8470,PURCHASE,,1895.92,,,,02,False,,,False,False
