accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,transactionType,isFraud
389689267,389689267,10000.0,10000.0,2016-01-01T03:50:11,67.9,Mobile eCards,US,US,09,01,online_gifts,09/2026,2003-11-16,2003-11-16,110,110,8309,,0.0,,,,False,,,False,,False
389689267,389689267,10000.0,9932.1,2016-01-13T13:09:12,161.42,Next Day eCards,US,US,05,01,online_gifts,12/2024,2003-11-16,2003-11-16,110,110,8309,,67.9,,,,False,,,False,PURCHASE,False
389689267,389689267,10000.0,9770.68,2016-01-15T06:54:53,217.53,Mobile eCards,US,US,05,01,online_gifts,12/2019,2003-11-16,2003-11-16,110,110,8309,,229.32,,,,False,,,False,PURCHASE,False
389689267,389689267,10000.0,9553.15,2016-01-19T07:41:01,78.73,alibaba.com,US,US,05,01,online_retail,08/2028,2003-11-16,2003-11-16,110,110,8309,,446.85,,,,False,,,False,PURCHASE,False
389689267,389689267,10000.0,9474.42,2016-01-23T11:33:42,41.15,Blue Mountain Online Services,US,US,05,01,online_gifts,04/2032,2003-11-16,2003-11-16,110,110,8309,,525.58,,,,False,,,False,PURCHASE,False
389689267,389689267,10000.0,9433.27,2016-01-26T15:08:55,55.83,ebay.com,US,US,09,01,online_retail,04/2033,2003-11-16,2003-11-16,110,110,8309,,566.73,,,,False,,,False,PURCHASE,False
389689267,389689267,10000.0,10000.0,2016-02-03T01:03:43,159.85,Fresh Flowers,US,US,09,08,online_gifts,01/2027,2003-11-16,2003-11-16,110,110,8309,,0.0,,,,False,,,False,PURCHASE,False
389689267,389689267,10000.0,9840.15,2016-02-03T02:08:31,53.99,Fresh eCards,US,US,02,01,online_gifts,02/2024,2003-11-16,2003-11-16,110,110,8309,,159.85,,,,False,,,False,PURCHASE,False
389689267,389689267,10000.0,9786.16,2016-02-10T00:55:13,53.65,Fresh Online Services,US,US,90,01,online_gifts,03/2028,2003-11-16,2003-11-16,110,110,8309,,213.84,,,,False,,,False,PURCHASE,False
389689267,389689267,10000.0,9732.51,2016-02-10T02:43:00,28.58,Fresh eCards,US,US,09,08,online_gifts,06/2027,2003-11-16,2003-11-16,110,110,8309,,267.49,,,,False,,,False,PURCHASE,False
389689267,389689267,10000.0,9703.93,2016-02-10T05:13:22,11.78,Fresh Flowers,US,US,02,01,online_gifts,12/2024,2003-11-16,2003-11-16,110,110,8309,,296.07,,,,False,,,False,PURCHASE,False
