accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posConditionCode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posEntryMode,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
935488756,935488756,5000.0,5000.0,2016-01-09T03:20:45,29.64,Auntie Anne's #971396,US,US,99,fastfood,True,04/2021,2010-07-18,2010-07-18,517,517,304,PURCHASE,,0.0,,,,,,,False,False
935488756,935488756,5000.0,4970.36,2016-01-11T02:05:15,4.74,Burger King #185621,MEX,MEX,01,fastfood,True,06/2030,2010-07-18,2010-07-18,517,517,304,PURCHASE,,29.64,,,,05,,,False,False
935488756,935488756,5000.0,4990.62,2016-02-23T16:38:44,17.43,sears.com,US,US,01,online_retail,False,07/2033,2010-07-18,2010-07-18,517,517,304,PURCHASE,,9.38,,,,05,,,False,False
935488756,935488756,5000.0,4973.19,2016-02-25T05:08:00,175.09,Uber,US,US,01,rideshare,False,03/2026,2010-07-18,2010-07-18,517,517,304,PURCHASE,,26.81,,,,05,,,False,False
935488756,935488756,5000.0,4798.1,2016-02-27T23:44:28,236.83,Domino's Pizza #934887,US,US,01,fastfood,True,11/2024,2010-07-18,2010-07-18,517,517,304,PURCHASE,,201.9,,,,09,,,False,False
935488756,935488756,5000.0,4586.27,2016-03-05T11:49:59,236.83,Domino's Pizza #934887,US,US,01,fastfood,True,11/2024,2010-07-18,2010-07-18,517,517,304,REVERSAL,,413.73,,,,09,,,False,False
935488756,935488756,5000.0,4823.1,2016-03-17T02:11:48,63.81,McDonalds #458640,US,US,01,fastfood,True,10/2024,2010-07-18,2010-07-18,517,517,304,PURCHASE,,176.9,,,,09,,,False,False
935488756,935488756,5000.0,4759.29,2016-03-18T17:32:48,95.69,Wendys #933486,US,US,01,fastfood,True,11/2024,2010-07-18,2010-07-18,517,517,304,PURCHASE,,240.71,,,,09,,,False,False
935488756,935488756,5000.0,4663.6,2016-03-26T12:37:42,44.56,Uber,US,US,01,rideshare,False,04/2027,2010-07-18,2010-07-18,517,517,304,PURCHASE,,336.4,,,,05,,,False,False
935488756,935488756,5000.0,4619.04,2016-03-26T12:39:09,44.56,Uber,US,US,01,rideshare,False,04/2027,2010-07-18,2010-07-18,517,517,304,PURCHASE,,380.96,,,,05,,,False,False
935488756,935488756,5000.0,4599.48,2016-04-10T14:49:05,273.98,Uber,US,US,08,rideshare,False,01/2021,2010-07-18,2010-07-18,517,517,304,PURCHASE,,400.52,,,,09,,,False,False
935488756,935488756,5000.0,4325.5,2016-04-22T22:20:59,186.49,Domino's Pizza #934887,US,US,01,fastfood,True,05/2022,2010-07-18,2010-07-18,517,517,304,PURCHASE,,674.5,,,,02,,,False,False
935488756,935488756,5000.0,4139.01,2016-04-28T00:32:34,57.97,discount.com,US,US,01,online_retail,False,12/2032,2010-07-18,2010-07-18,517,517,304,PURCHASE,,860.99,,,,05,,,False,False
935488756,935488756,5000.0,4081.04,2016-04-29T03:29:22,157.07,Auntie Anne's #829801,US,US,08,fastfood,True,08/2021,2010-07-18,2010-07-18,517,517,304,PURCHASE,,918.96,,,,02,,,False,False
935488756,935488756,5000.0,3948.97,2016-05-17T16:08:50,11.78,Arbys #528925,US,US,01,fastfood,True,04/2030,2010-07-18,2010-07-18,517,517,304,PURCHASE,,1051.03,,,,09,,,False,False
935488756,935488756,5000.0,3937.19,2016-05-24T10:26:11,76.71,sears.com,US,US,01,online_retail,False,03/2026,2010-07-18,2010-07-18,517,517,304,PURCHASE,,1062.81,,,,05,,,False,False
935488756,935488756,5000.0,3885.48,2016-08-05T10:15:23,100.19,staples.com,US,US,01,online_retail,False,04/2028,2010-07-18,2010-07-18,517,517,304,PURCHASE,,1114.52,,,,05,,,False,False
935488756,935488756,5000.0,3810.29,2016-09-03T20:15:28,375.72,Starbucks #524516,US,US,01,fastfood,True,03/2031,2010-07-18,2010-07-18,517,517,304,PURCHASE,,1189.71,,,,05,,,False,False
935488756,935488756,5000.0,3459.57,2016-10-01T12:13:20,111.71,KFC #141308,US,US,01,fastfood,True,06/2025,2010-07-18,2010-07-18,517,517,304,PURCHASE,,1540.43,,,,09,,,False,False
935488756,935488756,5000.0,3347.86,2016-10-16T17:26:56,5.79,Burger King #627282,US,US,01,fastfood,True,03/2028,2010-07-18,2010-07-18,517,517,304,PURCHASE,,1652.14,,,,05,,,False,False
935488756,935488756,5000.0,3342.07,2016-10-24T01:07:03,168.46,discount.com,US,US,01,online_retail,False,12/2019,2010-07-18,2010-07-18,517,517,304,PURCHASE,,1657.93,,,,09,,,False,False
935488756,935488756,5000.0,3173.61,2016-10-24T14:41:10,40.18,Franks Pub #53336,US,US,01,food,True,12/2022,2010-07-18,2010-07-18,517,517,304,PURCHASE,,1826.39,,,,09,,,False,False
