accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,acqCountry,merchantCountryCode,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
665422929,665422929,7500.0,7500.0,2016-01-02T13:08:05,48.62,Planet Fitness #683904,05,01,health,02/2032,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,0.0,,,,,,False,,,False,False
665422929,665422929,7500.0,7451.38,2016-01-11T17:31:31,461.98,alibaba.com,05,01,online_retail,10/2022,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,48.62,,,,US,US,False,,,False,False
665422929,665422929,7500.0,6989.4,2016-01-26T00:48:20,91.22,gap.com,02,01,online_retail,04/2020,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,510.6,,,,US,US,False,,,False,False
665422929,665422929,7500.0,6898.18,2016-01-26T01:44:32,211.33,target.com,05,01,online_retail,11/2028,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,601.82,,,,US,US,False,,,False,False
665422929,665422929,7500.0,6686.85,2016-01-28T18:48:06,10.86,cheapfast.com,09,08,online_retail,06/2027,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,813.15,,,,US,US,False,,,False,False
665422929,665422929,7500.0,6675.99,2016-01-29T11:33:15,6.35,ebay.com,02,01,online_retail,02/2031,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,824.01,,,,US,US,False,,,False,False
665422929,665422929,7500.0,6669.64,2016-01-29T11:34:45,6.35,ebay.com,02,01,online_retail,02/2031,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,830.36,,,,US,US,False,,,False,False
665422929,665422929,7500.0,7500.0,2016-02-01T04:32:20,28.76,ebay.com,05,08,online_retail,04/2025,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,0.0,,,,US,US,False,,,False,False
665422929,665422929,7500.0,7471.24,2016-02-02T05:23:00,0.0,Walgreens #123830,05,01,health,11/2029,2010-05-22,2010-05-22,338,338,9513,ADDRESS_VERIFICATION,,28.76,,,,US,US,False,,,False,False
665422929,665422929,7500.0,7471.24,2016-02-05T03:42:47,30.82,ebay.com,05,01,online_retail,04/2030,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,28.76,,,,US,US,False,,,False,False
665422929,665422929,7500.0,7440.42,2016-02-06T09:29:57,24.86,cheapfast.com,09,08,online_retail,07/2024,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,59.58,,,,US,US,False,,,False,False
665422929,665422929,7500.0,7415.56,2016-02-07T22:14:53,211.33,target.com,05,01,online_retail,11/2028,2010-05-22,2010-05-22,338,338,9513,REVERSAL,,84.44,,,,US,US,False,,,False,False
665422929,665422929,7500.0,7500.0,2016-02-11T09:06:03,372.33,alibaba.com,09,08,online_retail,08/2029,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,0.0,,,,US,US,False,,,False,False
665422929,665422929,7500.0,7127.67,2016-02-17T14:15:43,176.66,EZ Putt Putt #240241,05,01,entertainment,11/2028,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,372.33,,,,US,US,True,,,False,False
665422929,665422929,7500.0,6951.01,2016-02-28T15:37:08,45.26,target.com,05,01,online_retail,10/2025,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,548.99,,,,US,US,False,,,False,False
665422929,665422929,7500.0,6905.75,2016-02-28T23:57:01,28.76,ebay.com,05,08,online_retail,04/2025,2010-05-22,2010-05-22,338,338,9513,REVERSAL,,594.25,,,,US,US,False,,,False,False
665422929,665422929,7500.0,7500.0,2016-03-03T02:38:28,46.56,staples.com,02,01,online_retail,04/2021,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,0.0,,,,US,US,False,,,False,False
665422929,665422929,7500.0,7453.44,2016-03-07T12:22:07,40.76,Walgreens #636174,05,01,health,08/2025,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,46.56,,,,US,US,False,,,False,False
665422929,665422929,7500.0,7412.68,2016-03-11T01:42:33,56.6,oldnavy.com,05,01,online_retail,12/2031,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,87.32,,,,US,US,False,,,False,False
665422929,665422929,7500.0,7356.08,2016-03-14T23:27:30,873.71,apple.com,02,01,online_retail,04/2026,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,143.92,,,,US,US,False,,,False,False
665422929,665422929,7500.0,6482.37,2016-03-16T02:21:57,0.0,apple.com,02,08,online_retail,04/2028,2010-05-22,2010-05-22,338,338,9513,ADDRESS_VERIFICATION,,1017.63,,,,US,US,False,,,False,False
665422929,665422929,7500.0,6482.37,2016-03-18T07:46:07,25.82,Walgreens #310950,09,01,health,01/2029,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,1017.63,,,,US,US,False,,,False,False
665422929,665422929,7500.0,6456.55,2016-03-18T14:18:18,5.63,walmart.com,05,01,online_retail,10/2020,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,1043.45,,,,US,US,False,,,False,False
665422929,665422929,7500.0,6450.92,2016-03-20T22:14:10,236.41,alibaba.com,05,01,online_retail,02/2027,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,1049.08,,,,US,US,False,,,False,False
665422929,665422929,7500.0,6214.51,2016-03-23T09:03:45,111.31,apple.com,05,01,online_retail,09/2029,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,1285.49,,,,US,US,False,,,False,False
665422929,665422929,7500.0,6103.2,2016-03-25T12:31:23,110.53,target.com,05,01,online_retail,01/2023,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,1396.8,,,,US,US,False,,,False,False
665422929,665422929,7500.0,5992.67,2016-03-25T18:58:31,40.14,WSC #926050,80,08,health,11/2027,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,1507.33,,,,US,US,False,,,False,False
665422929,665422929,7500.0,5952.53,2016-03-31T19:30:56,244.46,AMC #724446,02,01,entertainment,09/2025,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,1547.47,,,,US,US,True,,,False,False
665422929,665422929,7500.0,5708.07,2016-03-31T22:10:39,278.2,AMC #724446,05,01,entertainment,07/2028,2010-05-22,2010-05-22,338,338,9513,PURCHASE,,1791.93,,,,US,US,True,,,False,False
