accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,posEntryMode,posConditionCode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,acqCountry,merchantCountryCode,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
152409190,152409190,7500.0,7500.0,2016-01-01T00:40:07,178.66,AMC #145832,05,01,entertainment,True,06/2029,2015-09-24,2015-09-24,194,194,7704,PURCHASE,,0.0,,,,,,,,False,False
152409190,152409190,7500.0,7321.34,2016-01-01T01:49:22,45.37,Lyft,09,01,rideshare,False,07/2031,2015-09-24,2015-09-24,194,194,7704,PURCHASE,,178.66,,,,US,US,,,False,False
152409190,152409190,7500.0,7275.97,2016-01-02T04:09:00,232.94,Uber,05,01,rideshare,False,10/2027,2015-09-24,2015-09-24,194,194,7704,PURCHASE,,224.03,,,,US,US,,,False,False
152409190,152409190,7500.0,7043.03,2016-01-11T19:22:48,100.36,Lyft,02,08,rideshare,False,06/2026,2015-09-24,2015-09-24,194,194,7704,PURCHASE,,456.97,,,,US,US,,,False,False
152409190,152409190,7500.0,6942.67,2016-01-15T13:58:17,6.94,Lyft,02,01,rideshare,False,10/2032,2015-09-24,2015-09-24,194,194,7704,PURCHASE,,557.33,,,,US,US,,,False,False
152409190,152409190,7500.0,6935.73,2016-01-15T18:17:17,505.89,Lyft,09,01,rideshare,False,04/2025,2015-09-24,2015-09-24,194,194,7704,PURCHASE,,564.27,,,,CAN,CAN,,,False,False
152409190,152409190,7500.0,6429.84,2016-01-15T21:21:23,86.86,cheapfast.com,05,01,online_retail,False,02/2031,2015-09-24,2015-09-24,194,194,7704,PURCHASE,,1070.16,,,,US,US,,,False,False
152409190,152409190,7500.0,6342.98,2016-01-17T22:52:51,179.76,Uber,05,01,rideshare,False,10/2029,2015-09-24,2015-09-24,194,194,7704,PURCHASE,,1157.02,,,,US,US,,,False,False
152409190,152409190,7500.0,6163.22,2016-01-17T22:54:57,179.76,Uber,05,01,rideshare,False,10/2029,2015-09-24,2015-09-24,194,194,7704,PURCHASE,,1336.78,,,,US,US,,,False,False
152409190,152409190,7500.0,5983.46,2016-01-21T11:03:49,343.16,Uber,05,01,rideshare,False,06/2022,2015-09-24,2015-09-24,194,194,7704,PURCHASE,,1516.54,,,,US,US,,,False,False
152409190,152409190,7500.0,5640.3,2016-01-24T08:34:20,85.77,Uber,05,01,rideshare,False,12/2031,2015-09-24,2015-09-24,194,194,7704,PURCHASE,,1859.7,,,,US,US,,,False,False
