accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,transactionAmount,merchantCity,merchantState,merchantZip,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
372294240,372294240,2500.0,2500.0,2016-01-09T18:53:02,Hyatt House #237946,US,US,09,08,hotels,06/2020,2015-07-21,2015-07-21,328,328,6389,ADDRESS_VERIFICATION,,0.0,0.0,,,,False,,,False,False
372294240,372294240,2500.0,2500.0,2016-02-17T21:46:52,ebay.com,US,US,02,01,online_retail,07/2023,2015-07-21,2015-07-21,328,328,6389,PURCHASE,,0.0,84.27,,,,False,,,False,False
372294240,372294240,2500.0,2415.73,2016-02-26T00:13:20,Spotify,US,US,09,01,online_subscriptions,10/2026,2015-07-21,2015-07-21,328,328,6389,PURCHASE,,84.27,17.46,,,,False,,,False,False
372294240,372294240,2500.0,2398.27,2016-02-27T10:59:06,Boston Cafe #105215,US,US,05,01,food,05/2020,2015-07-21,2015-07-21,328,328,6389,PURCHASE,,101.73,48.0,,,,True,,,False,False
372294240,372294240,2500.0,2500.0,2016-03-07T21:38:56,Boston Cafe #465229,US,US,02,01,food,07/2032,2015-07-21,2015-07-21,328,328,6389,PURCHASE,,0.0,51.19,,,,True,,,False,False
372294240,372294240,2500.0,2448.81,2016-03-28T12:54:44,Spotify,US,US,09,01,online_subscriptions,10/2026,2015-07-21,2015-07-21,328,328,6389,PURCHASE,,51.19,17.46,,,,False,,,False,False
372294240,372294240,2500.0,2500.0,2016-04-15T09:04:55,Franks Pub #53336,US,US,05,08,food,06/2029,2015-07-21,2015-07-21,328,328,6389,PURCHASE,,0.0,128.22,,,,True,,,False,False
372294240,372294240,2500.0,2371.78,2016-04-29T11:10:25,Spotify,US,US,09,01,online_subscriptions,10/2026,2015-07-21,2015-07-21,328,328,6389,PURCHASE,,128.22,17.46,,,,False,,,False,False
372294240,372294240,2500.0,2500.0,2016-05-15T09:31:52,Rodeway Inn #531652,US,US,90,01,hotels,08/2028,2015-07-21,2015-07-21,328,328,6389,PURCHASE,,0.0,50.16,,,,True,,,False,False
372294240,372294240,2500.0,2449.84,2016-05-24T05:49:27,Hilton Hotels #363589,US,US,05,01,hotels,08/2022,2015-07-21,2015-07-21,328,328,6389,PURCHASE,,50.16,19.22,,,,True,,,False,False
