accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,acqCountry,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
383066889,383066889,15000.0,15000.0,2016-01-01T14:51:14,215.78,EZ Putt Putt #503815,US,09,08,entertainment,True,05/2032,2011-01-07,2011-01-07,598,598,1027,PURCHASE,,0.0,,,,,,,False,False
383066889,383066889,15000.0,14784.22,2016-01-01T16:26:26,77.19,EZ Putt Putt #982199,US,09,08,entertainment,True,05/2024,2011-01-07,2011-01-07,598,598,1027,PURCHASE,,215.78,,,,US,,,False,False
383066889,383066889,15000.0,14707.03,2016-01-02T03:55:03,447.7,EZ Putt Putt #69446,US,05,01,entertainment,True,01/2028,2011-01-07,2011-01-07,598,598,1027,PURCHASE,,292.97,,,,US,,,False,False
383066889,383066889,15000.0,14259.33,2016-01-03T15:08:13,62.98,Dallas Post,US,02,01,subscriptions,False,12/2026,2011-01-07,2011-01-07,598,598,1027,PURCHASE,,740.67,,,,US,,,False,False
383066889,383066889,15000.0,14196.35,2016-01-03T15:20:42,249.99,Regal Cinemas #276341,US,09,01,entertainment,True,09/2022,2011-01-07,2011-01-07,598,598,1027,PURCHASE,,803.65,,,,US,,,False,False
383066889,383066889,15000.0,13946.36,2016-01-06T22:53:36,17.57,AMC #552863,US,09,01,entertainment,True,10/2023,2011-01-07,2011-01-07,598,598,1027,PURCHASE,,1053.64,,,,US,,,False,False
383066889,383066889,15000.0,13928.79,2016-01-07T00:24:55,774.88,AMC #79863,US,02,01,entertainment,True,04/2022,2011-01-07,2011-01-07,598,598,1027,PURCHASE,,1071.21,,,,US,,,False,False
383066889,383066889,15000.0,13153.91,2016-01-08T09:44:02,23.48,EZ Putt Putt #804489,US,05,01,entertainment,True,05/2032,2011-01-07,2011-01-07,598,598,1027,PURCHASE,,1846.09,,,,US,,,False,False
383066889,383066889,15000.0,13130.43,2016-01-08T20:57:09,10.47,Regal Cinemas #05791,US,02,01,entertainment,True,01/2032,2011-01-07,2011-01-07,598,598,1027,PURCHASE,,1869.57,,,,US,,,False,False
383066889,383066889,15000.0,13119.96,2016-01-09T20:01:36,233.69,EZ Putt Putt #982199,US,02,08,entertainment,False,11/2022,2011-01-07,2011-01-07,598,598,1027,PURCHASE,,1880.04,,,,US,,,False,False
383066889,383066889,15000.0,12886.27,2016-01-12T22:35:06,0.0,EZ Putt Putt #982199,US,05,01,entertainment,False,11/2024,2011-01-07,2011-01-07,598,598,1027,ADDRESS_VERIFICATION,,2113.73,,,,US,,,False,False
383066889,383066889,15000.0,12886.27,2016-01-13T14:00:22,102.71,Seattle Times,CAN,05,01,subscriptions,False,10/2020,2011-01-07,2011-01-07,598,598,1027,PURCHASE,,2113.73,,,,CAN,,,False,False
383066889,383066889,15000.0,12783.56,2016-01-16T09:56:44,600.35,AMC #145832,US,09,01,entertainment,True,05/2025,2011-01-07,2011-01-07,598,598,1027,PURCHASE,,2216.44,,,,US,,,False,False
