accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,isFraud,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posOnPremises,recurringAuthInd,expirationDateKeyInMatch
274161239,274161239,5000.0,5000.0,2016-05-22T19:44:38,75.34,EZ Putt Putt #755869,US,US,09,01,entertainment,True,03/2030,2014-12-12,2014-12-12,421,421,996,PURCHASE,True,,0.0,,,,,,False
274161239,274161239,5000.0,5000.0,2016-09-25T01:44:41,50.99,Mobil Gas #851671,US,US,02,08,fuel,True,11/2025,2014-12-12,2014-12-12,421,421,996,PURCHASE,False,,0.0,,,,,,False
274161239,274161239,5000.0,5000.0,2016-10-10T00:23:31,43.89,Mobil Gas #851671,US,US,02,08,fuel,True,11/2025,2014-12-12,2014-12-12,421,421,996,PURCHASE,False,,0.0,,,,,,False
274161239,274161239,5000.0,4956.11,2016-10-23T13:39:06,53.8,Mobil Gas #851671,US,US,02,08,fuel,True,11/2025,2014-12-12,2014-12-12,421,421,996,PURCHASE,False,,43.89,,,,,,False
274161239,274161239,5000.0,5000.0,2016-11-06T06:08:12,43.89,Mobil Gas #851671,US,US,02,08,fuel,True,11/2025,2014-12-12,2014-12-12,421,421,996,PURCHASE,False,,0.0,,,,,,False
274161239,274161239,5000.0,4956.11,2016-11-21T02:43:35,52.93,Mobil Gas #851671,US,US,02,08,fuel,True,11/2025,2014-12-12,2014-12-12,421,421,996,PURCHASE,False,,43.89,,,,,,False
274161239,274161239,5000.0,5000.0,2016-12-01T15:58:19,8.96,Franks Pub #680641,US,US,09,01,food,True,07/2025,2014-12-12,2014-12-12,421,421,996,PURCHASE,False,,0.0,,,,,,False
274161239,274161239,5000.0,4991.04,2016-12-05T19:38:19,43.89,Mobil Gas #851671,US,US,02,08,fuel,True,11/2025,2014-12-12,2014-12-12,421,421,996,PURCHASE,False,,8.96,,,,,,False
274161239,274161239,5000.0,4947.15,2016-12-10T21:47:24,206.95,apple.com,US,US,09,01,online_retail,False,10/2022,2014-12-12,2014-12-12,421,421,996,PURCHASE,False,,52.85,,,,,,False
274161239,274161239,5000.0,4740.2,2016-12-20T08:53:29,43.89,Mobil Gas #851671,US,US,02,08,fuel,True,11/2025,2014-12-12,2014-12-12,421,421,996,PURCHASE,False,,259.8,,,,,,False
