accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,acqCountry,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
406640915,406640915,15000.0,15000.0,2016-01-04T18:57:08,595.43,gap.com,US,02,01,online_retail,09/2031,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,0.0,,,,,False,,,False,False
406640915,406640915,15000.0,14404.57,2016-01-06T04:53:07,105.75,NYSC #105903,US,02,01,health,09/2028,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,595.43,,,,US,False,,,False,False
406640915,406640915,15000.0,14298.82,2016-01-22T06:22:16,93.86,walmart.com,US,05,01,online_retail,07/2025,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,701.18,,,,US,False,,,False,False
406640915,406640915,15000.0,14204.96,2016-01-27T16:52:30,132.29,Lyft,US,09,01,rideshare,04/2032,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,795.04,,,,US,False,,,False,False
406640915,406640915,15000.0,14072.67,2016-01-28T18:07:54,57.57,Lyft,US,02,01,rideshare,10/2023,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,927.33,,,,US,False,,,False,False
406640915,406640915,15000.0,14015.1,2016-01-31T01:13:29,97.41,Uber,US,05,08,rideshare,08/2021,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,984.9,,,,US,False,,,False,False
406640915,406640915,15000.0,13917.69,2016-01-31T04:17:40,342.65,Uber,US,09,08,rideshare,09/2020,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,1082.31,,,,US,False,,,False,False
406640915,406640915,15000.0,13600.04,2016-02-02T23:47:36,87.06,Uber,US,05,01,rideshare,09/2022,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,1399.96,,,,US,False,,,False,False
406640915,406640915,15000.0,13512.98,2016-02-07T05:55:54,4.37,Lyft,US,05,01,rideshare,11/2031,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,1487.02,,,,US,False,,,False,False
406640915,406640915,15000.0,13508.61,2016-02-07T07:17:49,274.8,Uber,US,05,01,rideshare,07/2033,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,1491.39,,,,US,False,,,False,False
406640915,406640915,15000.0,13233.81,2016-02-07T07:49:12,85.44,Uber,US,05,01,rideshare,10/2024,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,1766.19,,,,US,False,,,False,False
406640915,406640915,15000.0,13148.37,2016-02-07T20:56:08,360.96,Lyft,US,05,01,rideshare,08/2027,2010-10-27,2010-10-27,532,232,7120,PURCHASE,,1851.63,,,,US,False,,,False,False
406640915,406640915,15000.0,12787.41,2016-02-13T14:12:18,429.32,Uber,US,02,01,rideshare,01/2031,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,2212.59,,,,US,False,,,False,False
406640915,406640915,15000.0,12358.09,2016-02-13T23:11:12,42.75,walmart.com,US,09,01,online_retail,03/2023,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,2641.91,,,,US,False,,,False,False
406640915,406640915,15000.0,12315.34,2016-02-19T03:52:16,147.86,apple.com,US,02,01,online_retail,12/2028,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,2684.66,,,,US,False,,,False,False
406640915,406640915,15000.0,12167.48,2016-02-19T03:55:05,147.86,apple.com,US,02,01,online_retail,12/2028,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,2832.52,,,,US,False,,,False,False
406640915,406640915,15000.0,12019.62,2016-02-24T02:33:53,32.0,Lyft,US,02,01,rideshare,03/2027,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,2980.38,,,,US,False,,,False,False
406640915,406640915,15000.0,12012.62,2016-03-01T10:16:26,56.03,Lyft,US,02,01,rideshare,03/2031,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,2987.38,,,,US,False,,,False,False
406640915,406640915,15000.0,11956.59,2016-03-12T15:02:26,34.68,Uber,US,02,08,rideshare,08/2022,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,3043.41,,,,US,False,,,False,False
406640915,406640915,15000.0,11921.91,2016-03-20T19:08:54,178.32,Lyft,US,02,01,rideshare,02/2028,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,3078.09,,,,US,False,,,False,False
406640915,406640915,15000.0,11743.59,2016-03-28T02:25:05,3.56,staples.com,US,05,01,online_retail,02/2025,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,3256.41,,,,US,False,,,False,False
406640915,406640915,15000.0,11740.03,2016-03-28T17:17:10,19.33,Uber,US,02,01,rideshare,08/2028,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,3259.97,,,,US,False,,,False,False
406640915,406640915,15000.0,11720.7,2016-03-31T00:09:38,3.56,staples.com,US,05,01,online_retail,02/2025,2010-10-27,2010-10-27,532,532,7120,REVERSAL,,3279.3,,,,US,False,,,False,False
406640915,406640915,15000.0,11749.26,2016-04-02T14:44:06,70.16,Uber,US,09,01,rideshare,09/2025,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,3250.74,,,,US,False,,,False,False
406640915,406640915,15000.0,11679.1,2016-04-03T11:19:39,464.29,Uber,US,09,01,rideshare,09/2027,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,3320.9,,,,US,False,,,False,True
406640915,406640915,15000.0,11214.81,2016-04-04T17:34:51,141.63,cheapfast.com,US,05,01,online_retail,07/2029,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,3785.19,,,,US,False,,,False,False
406640915,406640915,15000.0,11073.18,2016-04-07T12:13:01,155.02,Lyft,US,05,01,rideshare,10/2032,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,3926.82,,,,US,False,,,False,False
406640915,406640915,15000.0,10918.16,2016-04-09T11:12:56,70.16,Uber,US,09,01,rideshare,09/2025,2010-10-27,2010-10-27,532,532,7120,REVERSAL,,4081.84,,,,US,False,,,False,False
406640915,406640915,15000.0,10988.32,2016-04-10T03:33:39,82.3,Lyft,US,02,08,rideshare,04/2025,2010-10-27,2010-10-27,532,532,7120,PURCHASE,,4011.68,,,,US,False,,,False,False
