accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
320486291,320486291,2500.0,2500.0,2016-01-03T15:32:48,13.74,abc.com,US,US,02,01,online_subscriptions,05/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,0.0,,,,False,,,False,False
320486291,320486291,2500.0,2486.26,2016-01-26T04:37:24,76.84,amazon.com,US,US,09,01,online_retail,06/2027,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,13.74,,,,False,,,False,False
320486291,320486291,2500.0,2434.42,2016-02-03T10:57:28,13.74,abc.com,US,US,02,01,online_subscriptions,05/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,65.58,,,,False,,,False,False
320486291,320486291,2500.0,2420.68,2016-02-10T22:03:33,104.61,staples.com,US,US,02,08,online_retail,07/2027,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,79.32,,,,False,,,False,False
320486291,320486291,2500.0,2316.07,2016-02-12T08:19:36,227.51,cheapfast.com,US,US,02,08,online_retail,02/2020,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,183.93,,,,False,,,False,False
320486291,320486291,2500.0,2113.56,2016-03-06T00:30:44,13.74,abc.com,US,US,02,01,online_subscriptions,05/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,386.44,,,,False,,,False,False
320486291,320486291,2500.0,2099.82,2016-03-09T21:19:12,169.01,sears.com,US,US,09,01,online_retail,01/2025,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,400.18,,,,False,,,False,False
320486291,320486291,2500.0,1930.81,2016-03-18T01:59:59,127.77,Best Deli #100511,US,US,09,01,food,09/2021,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,569.19,,,,True,,,False,False
320486291,320486291,2500.0,1828.04,2016-04-05T17:39:03,13.74,abc.com,US,US,02,01,online_subscriptions,05/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,671.96,,,,False,,,False,False
320486291,320486291,2500.0,1814.3,2016-04-28T14:59:20,26.93,amazon.com,US,US,02,01,online_retail,10/2022,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,685.7,,,,False,,,False,False
320486291,320486291,2500.0,1812.37,2016-05-07T00:47:31,13.74,abc.com,US,US,02,01,online_subscriptions,05/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,687.63,,,,False,,,False,False
320486291,320486291,2500.0,1798.63,2016-05-15T12:58:33,150.96,sears.com,US,US,09,01,online_retail,04/2024,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,701.37,,,,False,,,False,False
320486291,320486291,2500.0,1672.67,2016-06-06T03:13:17,13.74,abc.com,US,US,02,01,online_subscriptions,05/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,827.33,,,,False,,,False,False
320486291,320486291,2500.0,1658.93,2016-06-30T07:51:52,89.75,ebay.com,US,US,05,01,online_retail,12/2020,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,841.07,,,,False,,,False,False
320486291,320486291,2500.0,1594.18,2016-07-07T21:11:50,13.74,abc.com,US,US,02,01,online_subscriptions,05/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,905.82,,,,False,,,False,False
320486291,320486291,2500.0,1580.44,2016-07-17T10:15:57,11.59,discount.com,US,US,09,01,online_retail,10/2026,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,919.56,,,,False,,,False,False
320486291,320486291,2500.0,1568.85,2016-07-23T22:44:58,521.98,alibaba.com,US,US,05,01,online_retail,04/2021,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,931.15,,,,False,,,False,False
320486291,320486291,2500.0,1071.87,2016-08-07T10:48:05,13.74,abc.com,US,US,02,01,online_subscriptions,05/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1428.13,,,,False,,,False,False
320486291,320486291,2500.0,1058.13,2016-08-28T03:10:29,22.21,Texas Gas #791036,US,US,09,01,fuel,11/2020,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1441.87,,,,True,,,False,False
320486291,320486291,2500.0,1060.92,2016-09-07T06:21:07,13.74,abc.com,US,US,02,01,online_subscriptions,05/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1439.08,,,,False,,,False,False
320486291,320486291,2500.0,1047.18,2016-09-11T05:33:27,27.86,Texas Gas #791036,US,US,09,01,fuel,11/2020,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1452.82,,,,True,,,False,False
320486291,320486291,2500.0,1019.32,2016-09-20T01:48:08,4.75,staples.com,US,US,02,08,online_retail,08/2021,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1480.68,,,,False,,,False,False
320486291,320486291,2500.0,1014.57,2016-09-23T11:20:58,5.3,Apple iTunes,US,US,05,01,mobileapps,01/2030,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1485.43,,,,False,,,False,False
320486291,320486291,2500.0,1009.27,2016-09-25T21:43:26,22.3,Texas Gas #791036,US,US,09,01,fuel,11/2020,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1490.73,,,,True,,,False,False
320486291,320486291,2500.0,1011.97,2016-10-07T20:48:53,13.74,abc.com,US,US,02,01,online_subscriptions,05/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1488.03,,,,False,,,False,False
320486291,320486291,2500.0,998.23,2016-10-09T22:05:12,24.88,Texas Gas #791036,US,US,09,01,fuel,11/2020,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1501.77,,,,True,,,False,False
320486291,320486291,2500.0,973.35,2016-10-24T01:29:23,22.21,Texas Gas #791036,US,US,09,01,fuel,11/2020,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1526.65,,,,True,,,False,False
320486291,320486291,2500.0,951.14,2016-10-25T08:01:21,5.3,Apple iTunes,US,US,05,01,mobileapps,01/2030,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1548.86,,,,False,,,False,False
320486291,320486291,2500.0,970.84,2016-11-06T22:36:22,22.21,Texas Gas #791036,US,US,09,01,fuel,11/2020,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1529.16,,,,True,,,False,False
320486291,320486291,2500.0,948.63,2016-11-07T04:31:15,40.29,staples.com,US,US,05,01,online_retail,02/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1551.37,,,,False,,,False,False
320486291,320486291,2500.0,908.34,2016-11-07T04:34:07,40.29,staples.com,US,US,05,01,online_retail,02/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1591.66,,,,False,,,False,False
320486291,320486291,2500.0,868.05,2016-11-08T00:18:19,13.74,abc.com,US,US,02,01,online_subscriptions,05/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1631.95,,,,False,,,False,False
320486291,320486291,2500.0,854.31,2016-11-20T12:50:05,22.21,Texas Gas #791036,US,US,09,01,fuel,11/2020,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1645.69,,,,True,,,False,False
320486291,320486291,2500.0,832.1,2016-11-25T23:55:49,5.3,Apple iTunes,US,US,05,01,mobileapps,01/2030,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1667.9,,,,False,,,False,False
320486291,320486291,2500.0,851.8,2016-12-03T16:18:46,22.21,Texas Gas #791036,US,US,09,01,fuel,11/2020,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1648.2,,,,True,,,False,False
320486291,320486291,2500.0,829.59,2016-12-05T21:24:11,3.44,gap.com,US,US,05,01,online_retail,12/2024,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1670.41,,,,False,,,False,False
320486291,320486291,2500.0,826.15,2016-12-09T04:17:45,13.74,abc.com,US,US,02,01,online_subscriptions,05/2032,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1673.85,,,,False,,,False,False
320486291,320486291,2500.0,812.41,2016-12-17T01:57:14,22.21,Texas Gas #791036,US,US,09,01,fuel,11/2020,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1687.59,,,,True,,,False,False
320486291,320486291,2500.0,790.2,2016-12-27T12:34:26,5.3,Apple iTunes,US,US,05,01,mobileapps,01/2030,2014-11-30,2014-11-30,288,288,6204,PURCHASE,,1709.8,,,,False,,,False,False
