accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,isFraud,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posOnPremises,recurringAuthInd,expirationDateKeyInMatch
938195288,938195288,20000.0,20000.0,2016-01-02T21:49:04,269.37,AMC #552863,MEX,MEX,05,01,entertainment,True,12/2021,2014-02-24,2014-02-24,978,978,4548,PURCHASE,True,,0.0,,,,,,False
938195288,938195288,20000.0,19730.63,2016-01-08T17:35:33,0.0,EZ Putt Putt #982199,US,US,02,01,entertainment,False,01/2028,2014-02-24,2014-02-24,978,978,4548,ADDRESS_VERIFICATION,False,,269.37,,,,,,False
938195288,938195288,20000.0,19730.63,2016-01-14T08:00:03,92.73,EZ Putt Putt #755869,US,US,90,08,entertainment,True,01/2031,2014-02-24,2014-02-24,978,978,4548,PURCHASE,False,,269.37,,,,,,False
938195288,938195288,20000.0,19637.9,2016-01-19T13:19:53,93.9,EZ Putt Putt #240241,US,US,05,01,entertainment,False,06/2025,2014-02-24,2014-02-24,978,978,4548,PURCHASE,False,,362.1,,,,,,False
938195288,938195288,20000.0,19544.0,2016-01-20T14:00:56,30.45,EZ Putt Putt #755869,US,US,05,01,entertainment,True,04/2023,2014-02-24,2014-02-24,542,542,5672,PURCHASE,False,,456.0,,,,,,False
938195288,938195288,20000.0,19513.55,2016-01-30T10:11:14,87.57,AMC #191138,US,US,02,01,entertainment,True,11/2031,2014-02-24,2014-02-24,542,542,5672,PURCHASE,True,,486.45,,,,,,False
938195288,938195288,20000.0,19425.98,2016-01-31T18:42:23,90.81,AMC #606218,US,US,02,01,entertainment,True,11/2020,2014-02-24,2014-02-24,542,542,5672,PURCHASE,True,,574.02,,,,,,False
938195288,938195288,20000.0,19360.17,2016-02-01T06:47:10,6.18,EZ Putt Putt #240241,US,US,05,01,entertainment,True,02/2025,2014-02-24,2014-02-24,978,978,4548,PURCHASE,False,,639.83,,,,,,False
938195288,938195288,20000.0,19353.99,2016-02-08T00:32:14,53.51,AMC #128743,US,US,09,01,entertainment,True,11/2020,2014-02-24,2014-02-24,542,542,5672,PURCHASE,True,,646.01,,,,,,False
938195288,938195288,20000.0,19300.48,2016-02-20T11:37:49,7.07,AMC #724446,US,US,05,01,entertainment,True,03/2032,2014-02-24,2014-02-24,542,542,5672,PURCHASE,True,,699.52,,,,,,False
938195288,938195288,20000.0,19293.41,2016-02-23T01:56:24,84.51,EZ Putt Putt #69446,US,US,09,01,entertainment,True,11/2025,2014-02-24,2014-02-24,978,978,4548,PURCHASE,False,,706.59,,,,,,False
938195288,938195288,20000.0,19208.9,2016-02-26T09:19:46,170.83,EZ Putt Putt #69446,CAN,CAN,09,01,entertainment,True,08/2029,2014-02-24,2014-02-24,978,978,4548,PURCHASE,False,,791.1,,,,,,False
938195288,938195288,20000.0,19038.07,2016-02-27T13:54:17,268.37,AMC #606218,US,US,02,08,entertainment,True,03/2031,2014-02-24,2014-02-24,542,542,5672,PURCHASE,True,,961.93,,,,,,False
938195288,938195288,20000.0,18794.7,2016-03-08T18:54:41,439.16,AMC #145832,US,US,05,01,entertainment,True,03/2022,2014-02-24,2014-02-24,542,542,5672,PURCHASE,True,,1205.3,,,,,,False
938195288,938195288,20000.0,18355.54,2016-03-10T06:13:10,47.86,Next Day Online Services,US,US,09,01,online_gifts,False,07/2025,2014-02-24,2014-02-24,542,542,5672,PURCHASE,False,,1644.46,,,,,,False
938195288,938195288,20000.0,18307.68,2016-03-17T22:22:53,15.76,Regal Cinemas #729464,US,US,05,01,entertainment,True,04/2029,2014-02-24,2014-02-24,542,542,5672,PURCHASE,False,,1692.32,,,,,,False
