accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,acqCountry,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
590081417,590081417,250.0,250.0,2016-01-20T23:59:18,65.25,KFC #20504,US,05,01,fastfood,True,04/2033,2012-09-20,2012-09-20,407,407,8167,PURCHASE,,0.0,,,,,,,False,False
590081417,590081417,250.0,209.75,2016-03-10T17:13:32,367.36,Universe Massage #377344,US,09,01,personal care,True,06/2022,2012-09-20,2012-09-20,407,407,8167,PURCHASE,,40.25,,,,US,,,False,False
590081417,590081417,250.0,241.54,2016-03-26T11:41:50,286.01,Domino's Pizza #638869,US,09,08,fastfood,True,03/2023,2012-09-20,2012-09-20,407,407,8167,PURCHASE,,8.46,,,,US,,,False,False
590081417,590081417,250.0,250.0,2016-03-26T15:38:49,159.66,alibaba.com,US,02,01,online_retail,False,01/2031,2012-09-20,2012-09-20,144,144,1794,PURCHASE,,0.0,,,,US,,,False,False
590081417,590081417,250.0,115.34,2016-05-29T23:40:36,0.0,Universe Massage #859227,US,02,01,personal care,False,05/2031,2012-09-20,2012-09-20,407,407,8167,ADDRESS_VERIFICATION,,134.66,,,,US,,,False,False
590081417,590081417,250.0,140.34,2016-06-11T20:54:35,235.08,Popeyes #549616,US,09,01,fastfood,True,01/2024,2012-09-20,2012-09-20,407,407,8167,PURCHASE,,109.66,,,,US,,,False,False
590081417,590081417,250.0,172.6,2016-06-15T03:45:55,292.31,oldnavy.com,US,05,01,online_retail,False,03/2028,2012-09-20,2012-09-20,407,407,8167,PURCHASE,,77.4,,,,US,,,False,False
590081417,590081417,250.0,250.0,2016-07-15T20:45:15,44.34,Universe Massage #95463,US,05,01,personal care,True,05/2031,2012-09-20,2012-09-20,144,144,1794,PURCHASE,,0.0,,,,US,,,False,False
590081417,590081417,250.0,205.66,2016-07-26T19:59:28,29.67,alibaba.com,US,02,01,online_retail,False,05/2028,2012-09-20,2012-09-20,144,144,1794,PURCHASE,,44.34,,,,US,,,False,False
590081417,590081417,250.0,200.99,2016-09-21T13:00:51,507.47,Universe Massage #418883,US,02,08,personal care,True,02/2031,2012-09-20,2012-09-20,144,144,1794,PURCHASE,,49.01,,,,US,,,False,False
590081417,590081417,250.0,189.23,2016-10-17T20:10:00,17.13,target.com,US,90,01,online_retail,False,03/2031,2012-09-20,2012-09-20,144,144,1794,PURCHASE,,60.77,,,,US,,,False,False
590081417,590081417,250.0,172.1,2016-10-30T16:16:05,44.23,Arbys #740782,US,02,01,fastfood,True,05/2033,2012-09-20,2012-09-20,407,407,8167,PURCHASE,,77.9,,,,US,,,False,False
590081417,590081417,250.0,152.87,2016-12-15T03:20:16,135.15,discount.com,US,09,01,online_retail,False,08/2032,2012-09-20,2012-09-20,407,407,8167,PURCHASE,,97.13,,,,US,,,False,False
