accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
921605337,921605337,7500.0,7500.0,2016-01-05T05:03:29,133.26,Rodeway Inn #784818,US,US,05,08,hotels,True,07/2022,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,0.0,,,,,,False,False
921605337,921605337,7500.0,7366.74,2016-01-10T20:20:59,27.35,staples.com,US,US,02,01,online_retail,False,02/2024,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,133.26,,,,,,False,False
921605337,921605337,7500.0,7339.39,2016-01-10T23:26:47,17.72,target.com,US,US,05,01,online_retail,False,07/2021,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,160.61,,,,,,False,False
921605337,921605337,7500.0,7321.67,2016-01-12T04:44:41,254.12,ebay.com,US,US,05,01,online_retail,False,09/2025,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,178.33,,,,,,False,False
921605337,921605337,7500.0,7067.55,2016-01-12T17:51:48,52.78,Renaissance Hotel #81852,US,US,02,01,hotels,False,12/2029,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,432.45,,,,,,False,False
921605337,921605337,7500.0,7014.77,2016-01-17T11:26:12,23.77,apple.com,US,US,02,01,online_retail,False,04/2027,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,485.23,,,,,,False,False
921605337,921605337,7500.0,6991.0,2016-01-19T14:06:00,96.04,discount.com,US,US,09,08,online_retail,False,03/2032,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,509.0,,,,,,False,False
921605337,921605337,7500.0,6894.96,2016-01-20T04:13:06,7.99,Hilton Hotels #820595,US,US,02,08,hotels,True,01/2020,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,605.04,,,,,,False,False
921605337,921605337,7500.0,6886.97,2016-01-28T17:18:22,48.83,gap.com,US,US,02,01,online_retail,False,11/2023,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,613.03,,,,,,False,False
921605337,921605337,7500.0,7500.0,2016-02-03T06:43:23,108.71,alibaba.com,US,US,09,01,online_retail,False,07/2026,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,0.0,,,,,,False,False
921605337,921605337,7500.0,7391.29,2016-02-16T22:10:35,281.01,cheapfast.com,US,US,02,08,online_retail,False,05/2020,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,108.71,,,,,,False,False
921605337,921605337,7500.0,7500.0,2016-03-02T08:17:47,21.5,Curves #909237,US,US,09,01,gym,False,06/2032,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,0.0,,,,,,False,False
921605337,921605337,7500.0,7478.5,2016-03-16T05:51:16,21.5,Curves #909237,US,US,09,01,gym,False,06/2032,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,21.5,,,,,,False,False
921605337,921605337,7500.0,7457.0,2016-03-23T11:49:28,432.41,walmart.com,US,US,09,08,online_retail,False,12/2021,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,43.0,,,,,,False,False
921605337,921605337,7500.0,7024.59,2016-03-29T17:21:16,21.5,Curves #909237,US,US,09,01,gym,False,06/2032,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,475.41,,,,,,False,False
921605337,921605337,7500.0,7003.09,2016-03-29T20:10:27,89.22,Renaissance Hotel #851139,US,US,09,01,hotels,True,12/2019,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,496.91,,,,,,False,False
921605337,921605337,7500.0,7500.0,2016-04-11T15:06:23,40.18,discount.com,US,US,02,08,online_retail,False,11/2029,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,0.0,,,,,,False,False
921605337,921605337,7500.0,7459.82,2016-04-13T02:48:20,21.5,Curves #909237,US,US,09,01,gym,False,06/2032,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,40.18,,,,,,False,False
921605337,921605337,7500.0,7438.32,2016-04-25T16:29:59,89.22,Renaissance Hotel #851139,US,US,09,01,hotels,True,12/2019,2015-11-24,2015-11-24,678,678,1298,REVERSAL,,61.68,,,,,,False,False
921605337,921605337,7500.0,7500.0,2016-04-26T15:33:38,21.5,Curves #909237,US,US,09,01,gym,False,06/2032,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,0.0,,,,,,False,False
921605337,921605337,7500.0,7500.0,2016-05-04T02:53:10,91.48,apple.com,US,US,09,01,online_retail,False,01/2025,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,0.0,,,,,,False,False
921605337,921605337,7500.0,7408.52,2016-05-05T14:36:01,307.26,walmart.com,US,US,05,01,online_retail,False,03/2031,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,91.48,,,,,,False,False
921605337,921605337,7500.0,7101.26,2016-05-08T21:20:00,14.33,discount.com,US,US,80,01,online_retail,False,05/2030,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,398.74,,,,,,False,False
921605337,921605337,7500.0,7086.93,2016-05-10T02:32:25,196.19,Rodeway Inn #329268,US,US,05,01,hotels,True,01/2020,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,413.07,,,,,,False,False
921605337,921605337,7500.0,6890.74,2016-05-10T19:49:37,21.5,Curves #909237,US,US,09,01,gym,False,06/2032,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,609.26,,,,,,False,False
921605337,921605337,7500.0,6869.24,2016-05-16T22:43:42,98.36,ebay.com,US,US,09,01,online_retail,False,03/2023,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,630.76,,,,,,False,False
921605337,921605337,7500.0,6770.88,2016-05-21T12:35:44,388.94,Renaissance Hotel #908454,US,US,02,01,hotels,True,08/2030,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,729.12,,,,,,False,False
921605337,921605337,7500.0,6381.94,2016-05-25T02:30:13,21.5,Curves #909237,US,US,09,01,gym,False,06/2032,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,1118.06,,,,,,False,False
921605337,921605337,7500.0,6360.44,2016-05-29T19:39:38,49.93,sears.com,US,US,09,01,online_retail,False,10/2020,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,1139.56,,,,,,False,False
921605337,921605337,7500.0,7500.0,2016-06-02T07:27:23,30.52,discount.com,US,US,05,01,online_retail,False,03/2028,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,0.0,,,,,,False,False
921605337,921605337,7500.0,7469.48,2016-06-06T08:22:12,180.89,ebay.com,US,US,05,01,online_retail,False,03/2028,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,30.52,,,,,,False,False
921605337,921605337,7500.0,7288.59,2016-06-06T20:10:47,0.0,apple.com,US,US,09,01,online_retail,False,11/2025,2015-11-24,2015-11-24,678,678,1298,ADDRESS_VERIFICATION,,211.41,,,,,,False,False
921605337,921605337,7500.0,7288.59,2016-06-07T15:59:26,21.5,Curves #909237,US,US,09,01,gym,False,06/2032,2015-11-24,2015-11-24,678,678,1298,PURCHASE,,211.41,,,,,,False,False
